Freq.	V(n007)
1.00000000000000e+000	(-4.06433160832978e+000dB,-2.92852379893572e+000°)
1.07977516232771e+000	(-4.06558846108506e+000dB,-3.16191799936134e+000°)
1.16591440117983e+000	(-4.06705344151436e+000dB,-3.41387199809425e+000°)
1.25892541179417e+000	(-4.06876093677306e+000dB,-3.68585110812704e+000°)
1.35935639087853e+000	(-4.07075098771490e+000dB,-3.97943359868716e+000°)
1.46779926762207e+000	(-4.07307020848718e+000dB,-4.29631869643185e+000°)
1.58489319246111e+000	(-4.07577285214362e+000dB,-4.63833496813392e+000°)
1.71132830416178e+000	(-4.07892204418497e+000dB,-5.00744905096489e+000°)
1.84784979742229e+000	(-4.08259120876256e+000dB,-5.40577467811816e+000°)
1.99526231496888e+000	(-4.08686571529729e+000dB,-5.83558192408501e+000°)
2.15443469003188e+000	(-4.09184477641266e+000dB,-6.29930656426720e+000°)
2.32630506715363e+000	(-4.09764363125888e+000dB,-6.79955940645844e+000°)
2.51188643150958e+000	(-4.10439605135905e+000dB,-7.33913540553888e+000°)
2.71227257933203e+000	(-4.11225720881623e+000dB,-7.92102231580443e+000°)
2.92864456462524e+000	(-4.12140694875655e+000dB,-8.54840856587134e+000°)
3.16227766016838e+000	(-4.13205350880652e+000dB,-9.22468995717604e+000°)
3.41454887383360e+000	(-4.14443772760855e+000dB,-9.95347468696578e+000°)
3.68694506451958e+000	(-4.15883778106772e+000dB,-1.07385860789404e+001°)
3.98107170553497e+000	(-4.17557447816604e+000dB,-1.15840622686953e+001°)
4.29866234708228e+000	(-4.19501713647278e+000dB,-1.24941519374775e+001°)
4.64158883361278e+000	(-4.21759003933116e+000dB,-1.34733050192313e+001°)
5.01187233627272e+000	(-4.24377945022767e+000dB,-1.45261571283882e+001°)
5.41169526546464e+000	(-4.27414112294054e+000dB,-1.56575062797343e+001°)
5.84341413373518e+000	(-4.30930819650544e+000dB,-1.68722803135700e+001°)
6.30957344480193e+000	(-4.34999929977247e+000dB,-1.81754933238157e+001°)
6.81292069057961e+000	(-4.39702660988926e+000dB,-1.95721893480882e+001°)
