Freq.	V(n003)
1.00000000000000e+000	(-1.86058901727723e-001dB,-4.07067795356230e+000°)
1.07977516232771e+000	(-1.88943765941692e-001dB,-4.39456941927466e+000°)
1.16591440117983e+000	(-1.92304934619957e-001dB,-4.74408083516548e+000°)
1.25892541179417e+000	(-1.96220598919467e-001dB,-5.12119987039923e+000°)
1.35935639087853e+000	(-2.00781625937756e-001dB,-5.52805841281409e+000°)
1.46779926762207e+000	(-2.06093556706073e-001dB,-5.96694044906823e+000°)
1.58489319246111e+000	(-2.12278898843084e-001dB,-6.44028967624227e+000°)
1.71132830416178e+000	(-2.19479750062054e-001dB,-6.95071661000508e+000°)
1.84784979742229e+000	(-2.27860790471328e-001dB,-7.50100488888086e+000°)
1.99526231496888e+000	(-2.37612682291375e-001dB,-8.09411639492159e+000°)
2.15443469003188e+000	(-2.48955914653212e-001dB,-8.73319471647685e+000°)
2.32630506715363e+000	(-2.62145127790223e-001dB,-9.42156636735639e+000°)
2.51188643150958e+000	(-2.77473944202975e-001dB,-1.01627390477664e+001°)
2.71227257933203e+000	(-2.95280323023446e-001dB,-1.09603960864193e+001°)
2.92864456462524e+000	(-3.15952436295072e-001dB,-1.18183860425590e+001°)
3.16227766016838e+000	(-3.39935040402449e-001dB,-1.27407062766143e+001°)
3.41454887383360e+000	(-3.67736280355620e-001dB,-1.37314791283471e+001°)
3.68694506451958e+000	(-3.99934816857875e-001dB,-1.47949191870599e+001°)
3.98107170553497e+000	(-4.37187103950360e-001dB,-1.59352900227007e+001°)
4.29866234708228e+000	(-4.80234566895192e-001dB,-1.71568487020503e+001°)
4.64158883361278e+000	(-5.29910335268183e-001dB,-1.84637764840720e+001°)
5.01187233627272e+000	(-5.87145076325249e-001dB,-1.98600943278110e+001°)
5.41169526546464e+000	(-6.52971352956913e-001dB,-2.13495623195580e+001°)
5.84341413373518e+000	(-7.28525807624252e-001dB,-2.29355629027203e+001°)
6.30957344480193e+000	(-8.15048362901107e-001dB,-2.46209689380515e+001°)
6.81292069057961e+000	(-9.13877551534612e-001dB,-2.64079991760806e+001°)
7.35642254459641e+000	(-1.02644107184933e+000dB,-2.82980656854063e+001°)
7.94328234724281e+000	(-1.15424074043815e+000dB,-3.02916200742745e+001°)
8.57695898590894e+000	(-1.29883121688584e+000dB,-3.23880077902941e+001°)
9.26118728128793e+000	(-1.46179223193407e+000dB,-3.45853420829141e+001°)
1.00000000000000e+001	(-1.64469457184016e+000dB,-3.68804109420019e+001°)
1.07977516232771e+001	(-1.84906074071521e+000dB,-3.92686309755291e+001°)
1.16591440117983e+001	(-2.07632198484299e+000dB,-4.17440612516418e+001°)
1.25892541179417e+001	(-2.32777412297857e+000dB,-4.42994872251891e+001°)
1.35935639087853e+001	(-2.60453525569894e+000dB,-4.69265798951811e+001°)
1.46779926762207e+001	(-2.90750878425983e+000dB,-4.96161286038334e+001°)
1.58489319246111e+001	(-3.23735513515801e+000dB,-5.23583381512693e+001°)
1.71132830416178e+001	(-3.59447509828388e+000dB,-5.51431732999242e+001°)
1.84784979742229e+001	(-3.97900676743856e+000dB,-5.79607275752854e+001°)
1.99526231496888e+001	(-4.39083683822482e+000dB,-6.08015896806097e+001°)
2.15443469003188e+001	(-4.82962565875985e+000dB,-6.36571805217709e+001°)
2.32630506715363e+001	(-5.29484416115451e+000dB,-6.65200368220538e+001°)
2.51188643150958e+001	(-5.78581981958841e+000dB,-6.93840229732409e+001°)
2.71227257933203e+001	(-6.30178820758038e+000dB,-7.22444600178707e+001°)
2.92864456462524e+001	(-6.84194659379996e+000dB,-7.50981682112788e+001°)
3.16227766016838e+001	(-7.40550626620483e+000dB,-7.79434263340854e+001°)
3.41454887383360e+001	(-7.99174079193695e+000dB,-8.07798560501573e+001°)
3.68694506451957e+001	(-8.60002806582304e+000dB,-8.36082428307446e+001°)
3.98107170553497e+001	(-9.22988464582960e+000dB,-8.64303064185932e+001°)
4.29866234708228e+001	(-9.88099142732348e+000dB,-8.92484339131015e+001°)
4.64158883361278e+001	(-1.05532101231913e+001dB,-9.20653878877494e+001°)
5.01187233627272e+001	(-1.12465902919380e+001dB,-9.48840010687164e+001°)
5.41169526546463e+001	(-1.19613668246232e+001dB,-9.77068684598288e+001°)
5.84341413373517e+001	(-1.26979479210286e+001dB,-1.00536047662590e+002°)
6.30957344480193e+001	(-1.34568937228363e+001dB,-1.03372778564021e+002°)
6.81292069057961e+001	(-1.42388859903485e+001dB,-1.06217234380372e+002°)
7.35642254459641e+001	(-1.50446895558830e+001dB,-1.09068316880546e+002°)
7.94328234724281e+001	(-1.58751067778802e+001dB,-1.11923508947388e+002°)
8.57695898590894e+001	(-1.67309268304385e+001dB,-1.14778796884788e+002°)
9.26118728128793e+001	(-1.76128723225856e+001dB,-1.17628672529998e+002°)
1.00000000000000e+002	(-1.85215463371270e+001dB,-1.20466220996172e+002°)
1.07977516232771e+002	(-1.94573833727419e+001dB,-1.23283293837060e+002°)
1.16591440117983e+002	(-2.04206077330022e+001dB,-1.26070760142868e+002°)
1.25892541179417e+002	(-2.14112025430572e+001dB,-1.28818820525507e+002°)
1.35935639087853e+002	(-2.24288917763400e+001dB,-1.31517362379552e+002°)
1.46779926762207e+002	(-2.34731365206524e+001dB,-1.34156330437440e+002°)
1.58489319246111e+002	(-2.45431453701146e+001dB,-1.36726085355166e+002°)
1.71132830416178e+002	(-2.56378975095655e+001dB,-1.39217725154275e+002°)
1.84784979742229e+002	(-2.67561759701052e+001dB,-1.41623349412901e+002°)
1.99526231496888e+002	(-2.78966078333502e+001dB,-1.43936253179770e+002°)
2.15443469003188e+002	(-2.90577079156216e+001dB,-1.46151045414569e+002°)
2.32630506715362e+002	(-3.02379226473787e+001dB,-1.48263694089023e+002°)
2.51188643150958e+002	(-3.14356713807019e+001dB,-1.50271505957087e+002°)
2.71227257933203e+002	(-3.26493830730012e+001dB,-1.52173052897182e+002°)
2.92864456462523e+002	(-3.38775270705176e+001dB,-1.53968058564766e+002°)
3.16227766016838e+002	(-3.51186374376252e+001dB,-1.55657259136306e+002°)
3.41454887383360e+002	(-3.63713308734241e+001dB,-1.57242250641688e+002°)
3.68694506451957e+002	(-3.76343186917973e+001dB,-1.58725333292877e+002°)
3.98107170553497e+002	(-3.89064136140628e+001dB,-1.60109360793124e+002°)
4.29866234708227e+002	(-4.01865322553862e+001dB,-1.61397600214319e+002°)
4.64158883361278e+002	(-4.14736942088288e+001dB,-1.62593605895276e+002°)
5.01187233627272e+002	(-4.27670185779740e+001dB,-1.63701109061610e+002°)
5.41169526546463e+002	(-4.40657187107885e+001dB,-1.64723923531883e+002°)
5.84341413373517e+002	(-4.53690957678601e+001dB,-1.65665866930198e+002°)
6.30957344480193e+002	(-4.66765316347822e+001dB,-1.66530696216164e+002°)
6.81292069057961e+002	(-4.79874815723935e+001dB,-1.67322056000678e+002°)
7.35642254459641e+002	(-4.93014668960917e+001dB,-1.68043437972440e+002°)
7.94328234724281e+002	(-5.06180678891216e+001dB,-1.68698149755782e+002°)
8.57695898590894e+002	(-5.19369170848135e+001dB,-1.69289291606319e+002°)
9.26118728128793e+002	(-5.32576929979882e+001dB,-1.69819739489556e+002°)
9.99999999999999e+002	(-5.45801143441976e+001dB,-1.70292133251696e+002°)
1.07977516232771e+003	(-5.59039347549237e+001dB,-1.70708868762754e+002°)
1.16591440117983e+003	(-5.72289379751577e+001dB,-1.71072093077631e+002°)
1.25892541179417e+003	(-5.85549335149535e+001dB,-1.71383701814016e+002°)
1.35935639087852e+003	(-5.98817527169207e+001dB,-1.71645338083296e+002°)
1.46779926762207e+003	(-6.12092451957940e+001dB,-1.71858392430893e+002°)
1.58489319246111e+003	(-6.25372756030646e+001dB,-1.72024003346101e+002°)
1.71132830416178e+003	(-6.38657206683187e+001dB,-1.72143057989726e+002°)
1.84784979742229e+003	(-6.51944664687085e+001dB,-1.72216192862645e+002°)
1.99526231496888e+003	(-6.65234058783953e+001dB,-1.72243794201731e+002°)
2.15443469003188e+003	(-6.78524361504542e+001dB,-1.72225997943631e+002°)
2.32630506715362e+003	(-6.91814565843736e+001dB,-1.72162689143754e+002°)
2.51188643150958e+003	(-7.05103662327053e+001dB,-1.72053500779541e+002°)
2.71227257933203e+003	(-7.18390616005295e+001dB,-1.71897811905673e+002°)
2.92864456462523e+003	(-7.31674342911026e+001dB,-1.71694745166279e+002°)
3.16227766016838e+003	(-7.44953685503592e+001dB,-1.71443163707284e+002°)
3.41454887383360e+003	(-7.58227386618577e+001dB,-1.71141667572858e+002°)
3.68694506451957e+003	(-7.71494061423831e+001dB,-1.70788589715388e+002°)
3.98107170553497e+003	(-7.84752166868941e+001dB,-1.70381991800656e+002°)
4.29866234708227e+003	(-7.97999968100382e+001dB,-1.69919660051097e+002°)
4.64158883361278e+003	(-8.11235501303777e+001dB,-1.69399101442422e+002°)
5.01187233627272e+003	(-8.24456532432029e+001dB,-1.68817540654757e+002°)
5.41169526546463e+003	(-8.37660511289500e+001dB,-1.68171918280933e+002°)
5.84341413373517e+003	(-8.50844520475604e+001dB,-1.67458890913467e+002°)
6.30957344480193e+003	(-8.64005218756351e+001dB,-1.66674833869222e+002°)
6.81292069057961e+003	(-8.77138778542162e+001dB,-1.65815847466687e+002°)
7.35642254459641e+003	(-8.90240817320433e+001dB,-1.64877767943226e+002°)
7.94328234724281e+003	(-9.03306323140433e+001dB,-1.63856184283613e+002°)
8.57695898590893e+003	(-9.16329574597427e+001dB,-1.62746462417503e+002°)
9.26118728128793e+003	(-9.29304056234936e+001dB,-1.61543778417137e+002°)
9.99999999999999e+003	(-9.42222370900505e+001dB,-1.60243162464918e+002°)
1.07977516232771e+004	(-9.55076151368153e+001dB,-1.58839555431370e+002°)
1.16591440117983e+004	(-9.67855974485978e+001dB,-1.57327879864306e+002°)
1.25892541179417e+004	(-9.80551282207166e+001dB,-1.55703126985687e+002°)
1.35935639087852e+004	(-9.93150315073570e+001dB,-1.53960460859785e+002°)
1.46779926762207e+004	(-1.00564006495682e+002dB,-1.52095340167209e+002°)
1.58489319246111e+004	(-1.01800625498048e+002dB,-1.50103656932267e+002°)
1.71132830416178e+004	(-1.03023335534127e+002dB,-1.47981890067231e+002°)
1.84784979742229e+004	(-1.04230464394764e+002dB,-1.45727269723339e+002°)
1.99526231496888e+004	(-1.05420232008318e+002dB,-1.43337946256595e+002°)
2.15443469003188e+004	(-1.06590767736368e+002dB,-1.40813155310583e+002°)
2.32630506715362e+004	(-1.07740133884372e+002dB,-1.38153368393874e+002°)
2.51188643150958e+004	(-1.08866355217061e+002dB,-1.35360416807604e+002°)
2.71227257933203e+004	(-1.09967453639756e+002dB,-1.32437576355140e+002°)
2.92864456462523e+004	(-1.11041486504945e+002dB,-1.29389601420396e+002°)
3.16227766016838e+004	(-1.12086586328264e+002dB,-1.26222700065442e+002°)
3.41454887383360e+004	(-1.13100999180509e+002dB,-1.22944446801314e+002°)
3.68694506451957e+004	(-1.14083118801363e+002dB,-1.19563636232498e+002°)
3.98107170553497e+004	(-1.15031513668543e+002dB,-1.16090088004953e+002°)
4.29866234708227e+004	(-1.15944944900907e+002dB,-1.12534420170551e+002°)
4.64158883361277e+004	(-1.16822373930716e+002dB,-1.08907812854490e+002°)
5.01187233627272e+004	(-1.17662960204691e+002dB,-1.05221785809684e+002°)
5.41169526546463e+004	(-1.18466050544513e+002dB,-1.01488011416525e+002°)
5.84341413373517e+004	(-1.19231162963205e+002dB,-9.77181790230479e+001°)
6.30957344480193e+004	(-1.19957968469240e+002dB,-9.39239180605900e+001°)
6.81292069057961e+004	(-1.20646274547959e+002dB,-9.01167775401849e+001°)
7.35642254459641e+004	(-1.21296013550625e+002dB,-8.63082500435883e+001°)
7.94328234724281e+004	(-1.21907238219104e+002dB,-8.25098208161291e+001°)
8.57695898590893e+004	(-1.22480125197459e+002dB,-7.87330183311899e+001°)
9.26118728128793e+004	(-1.23014985862345e+002dB,-7.49894424438321e+001°)
9.99999999999999e+004	(-1.23512282396685e+002dB,-7.12907500262425e+001°)
1.07977516232771e+005	(-1.23972645972259e+002dB,-6.76485851433053e+001°)
1.16591440117983e+005	(-1.24396893375099e+002dB,-6.40744501585285e+001°)
1.25892541179417e+005	(-1.24786038489565e+002dB,-6.05795240423385e+001°)
1.35935639087852e+005	(-1.25141295727709e+002dB,-5.71744428674261e+001°)
1.46779926762207e+005	(-1.25464073614561e+002dB,-5.38690635401388e+001°)
1.58489319246111e+005	(-1.25755958099437e+002dB,-5.06722343074935e+001°)
1.71132830416178e+005	(-1.26018686506466e+002dB,-4.75915943156535e+001°)
1.84784979742229e+005	(-1.26254114136567e+002dB,-4.46334200429063e+001°)
1.99526231496888e+005	(-1.26464176232701e+002dB,-4.18025299078811e+001°)
2.15443469003188e+005	(-1.26650848263229e+002dB,-3.91022511193399e+001°)
2.32630506715362e+005	(-1.26816107302163e+002dB,-3.65344461483695e+001°)
2.51188643150958e+005	(-1.26961896796535e+002dB,-3.40995909806551e+001°)
2.71227257933202e+005	(-1.27090096347705e+002dB,-3.17968939988087e+001°)
2.92864456462523e+005	(-1.27202497428683e+002dB,-2.96244429692313e+001°)
3.16227766016838e+005	(-1.27300785317892e+002dB,-2.75793678623045e+001°)
3.41454887383360e+005	(-1.27386527015842e+002dB,-2.56580086491697e+001°)
3.68694506451957e+005	(-1.27461164550873e+002dB,-2.38560792934539e+001°)
3.98107170553497e+005	(-1.27526012869143e+002dB,-2.21688214582763e+001°)
4.29866234708227e+005	(-1.27582261419588e+002dB,-2.05911436574581e+001°)
4.64158883361277e+005	(-1.27630978555031e+002dB,-1.91177434967947e+001°)
5.01187233627272e+005	(-1.27673117944295e+002dB,-1.77432121838174e+001°)
5.41169526546463e+005	(-1.27709526299149e+002dB,-1.64621216179884e+001°)
5.84341413373517e+005	(-1.27740951842787e+002dB,-1.52690951424039e+001°)
6.30957344480193e+005	(-1.27768053068303e+002dB,-1.41588635027918e+001°)
6.81292069057960e+005	(-1.27791407447062e+002dB,-1.31263077876403e+001°)
7.35642254459640e+005	(-1.27811519843108e+002dB,-1.21664911792472e+001°)
7.94328234724281e+005	(-1.27828830469321e+002dB,-1.12746812849008e+001°)
8.57695898590893e+005	(-1.27843722284187e+002dB,-1.04463646847352e+001°)
9.26118728128792e+005	(-1.27856527776526e+002dB,-9.67725516147771e+000°)
9.99999999999999e+005	(-1.27867535121337e+002dB,-8.96329689109687e+000°)
1.07977516232771e+006	(-1.27876993715413e+002dB,-8.30066368816716e+000°)
1.16591440117983e+006	(-1.27885119118614e+002dB,-7.68575522545020e+000°)
1.25892541179417e+006	(-1.27892097437594e+002dB,-7.11519098920828e+000°)
1.35935639087852e+006	(-1.27898089194926e+002dB,-6.58580259251182e+000°)
1.46779926762207e+006	(-1.27903232729264e+002dB,-6.09462494865349e+000°)
1.58489319246111e+006	(-1.27907647172443e+002dB,-5.63888670487391e+000°)
1.71132830416178e+006	(-1.27911435048048e+002dB,-5.21600025137225e+000°)
1.84784979742229e+006	(-1.27914684533513e+002dB,-4.82355155013689e+000°)
1.99526231496888e+006	(-1.27917471424818e+002dB,-4.45928997051930e+000°)
2.15443469003188e+006	(-1.27919860839454e+002dB,-4.12111827179249e+000°)
2.32630506715362e+006	(-1.27921908689911e+002dB,-3.80708283543876e+000°)
2.51188643150958e+006	(-1.27923662956600e+002dB,-3.51536422004430e+000°)
2.71227257933202e+006	(-1.27925164785862e+002dB,-3.24426808809082e+000°)
2.92864456462523e+006	(-1.27926449435785e+002dB,-2.99221653546936e+000°)
3.16227766016837e+006	(-1.27927547089727e+002dB,-2.75773984022891e+000°)
3.41454887383360e+006	(-1.27928483555022e+002dB,-2.53946863609964e+000°)
3.68694506451957e+006	(-1.27929280862031e+002dB,-2.33612650803121e+000°)
3.98107170553497e+006	(-1.27929957776733e+002dB,-2.14652300081196e+000°)
