Freq.	V(bf_source)/V(samplecap)
1.00000000000000e+003	(-1.04985188481386e+000dB,-3.88260625254516e-002°)
1.00770481413610e+003	(-1.04986555345413e+000dB,-3.91111145539481e-002°)
1.01546899243308e+003	(-1.04987942336578e+000dB,-3.93980451186372e-002°)
1.02329299228075e+003	(-1.04989349735714e+000dB,-3.96868616941904e-002°)
1.03117727459306e+003	(-1.04990777827055e+000dB,-3.99775716650481e-002°)
1.03912230383517e+003	(-1.04992226898340e+000dB,-4.02701823216065e-002°)
1.04712854805090e+003	(-1.04993697240815e+000dB,-4.05647008566510e-002°)
1.05519647889024e+003	(-1.04995189149220e+000dB,-4.08611343616492e-002°)
1.06332657163716e+003	(-1.04996702921886e+000dB,-4.11594898227473e-002°)
1.07151930523761e+003	(-1.04998238860688e+000dB,-4.14597741171593e-002°)
1.07977516232771e+003	(-1.04999797271133e+000dB,-4.17619940089861e-002°)
1.08809462926223e+003	(-1.05001378462353e+000dB,-4.20661561452543e-002°)
1.09647819614319e+003	(-1.05002982747135e+000dB,-4.23722670517099e-002°)
1.10492635684876e+003	(-1.05004610441965e+000dB,-4.26803331285268e-002°)
1.11343960906236e+003	(-1.05006261867010e+000dB,-4.29903606463263e-002°)
1.12201845430196e+003	(-1.05007937346186e+000dB,-4.33023557414567e-002°)
1.13066339794964e+003	(-1.05009637207159e+000dB,-4.36163244116523e-002°)
1.13937494928134e+003	(-1.05011361781377e+000dB,-4.39322725115125e-002°)
1.14815362149688e+003	(-1.05013111404070e+000dB,-4.42502057477528e-002°)
1.15699993175021e+003	(-1.05014886414323e+000dB,-4.45701296745794e-002°)
1.16591440117983e+003	(-1.05016687155028e+000dB,-4.48920496888475e-002°)
1.17489755493953e+003	(-1.05018513972965e+000dB,-4.52159710250613e-002°)
1.18394992222930e+003	(-1.05020367218792e+000dB,-4.55418987505203e-002°)
1.19307203632654e+003	(-1.05022247247034e+000dB,-4.58698377601995e-002°)
1.20226443461741e+003	(-1.05024154416212e+000dB,-4.61997927714115e-002°)
1.21152765862859e+003	(-1.05026089088725e+000dB,-4.65317683186355e-002°)
1.22086225405907e+003	(-1.05028051630941e+000dB,-4.68657687483301e-002°)
1.23026877081238e+003	(-1.05030042413191e+000dB,-4.72017982131979e-002°)
1.23974776302895e+003	(-1.05032061809813e+000dB,-4.75398606666592e-002°)
1.24929978911874e+003	(-1.05034110199126e+000dB,-4.78799598574349e-002°)
1.25892541179417e+003	(-1.05036187963484e+000dB,-4.82220993235203e-002°)
1.26862519810326e+003	(-1.05038295489209e+000dB,-4.85662823866066e-002°)
1.27839971946303e+003	(-1.05040433166727e+000dB,-4.89125121458276e-002°)
1.28824955169314e+003	(-1.05042601390501e+000dB,-4.92607914720125e-002°)
1.29817527504985e+003	(-1.05044800558982e+000dB,-4.96111230014231e-002°)
1.30817747426020e+003	(-1.05047031074732e+000dB,-4.99635091294871e-002°)
1.31825673855641e+003	(-1.05049293344412e+000dB,-5.03179520045355e-002°)
1.32841366171065e+003	(-1.05051587778682e+000dB,-5.06744535213719e-002°)
1.33864884207000e+003	(-1.05053914792339e+000dB,-5.10330153146759e-002°)
1.34896288259166e+003	(-1.05056274804208e+000dB,-5.13936387524318e-002°)
1.35935639087853e+003	(-1.05058668237235e+000dB,-5.17563249292223e-002°)
1.36982997921497e+003	(-1.05061095518409e+000dB,-5.21210746593079e-002°)
1.38038426460289e+003	(-1.05063557078823e+000dB,-5.24878884698583e-002°)
1.39101986879806e+003	(-1.05066053353642e+000dB,-5.28567665936950e-002°)
1.40173741834677e+003	(-1.05068584782053e+000dB,-5.32277089623812e-002°)
1.41253754462276e+003	(-1.05071151807359e+000dB,-5.36007151989461e-002°)
1.42342088386435e+003	(-1.05073754876894e+000dB,-5.39757846103850e-002°)
1.43438807721197e+003	(-1.05076394442000e+000dB,-5.43529161806484e-002°)
1.44543977074593e+003	(-1.05079070958091e+000dB,-5.47321085626543e-002°)
1.45657661552446e+003	(-1.05081784884574e+000dB,-5.51133600708417e-002°)
1.46779926762207e+003	(-1.05084536684825e+000dB,-5.54966686737843e-002°)
1.47910838816821e+003	(-1.05087326826258e+000dB,-5.58820319857863e-002°)
1.49050464338620e+003	(-1.05090155780174e+000dB,-5.62694472595782e-002°)
1.50198870463249e+003	(-1.05093024021859e+000dB,-5.66589113777452e-002°)
1.51356124843621e+003	(-1.05095932030501e+000dB,-5.70504208451960e-002°)
1.52522295653902e+003	(-1.05098880289138e+000dB,-5.74439717806466e-002°)
1.53697451593528e+003	(-1.05101869284670e+000dB,-5.78395599084284e-002°)
1.54881661891249e+003	(-1.05104899507850e+000dB,-5.82371805499798e-002°)
1.56074996309212e+003	(-1.05107971453159e+000dB,-5.86368286158040e-002°)
1.57277525147067e+003	(-1.05111085618865e+000dB,-5.90384985965576e-002°)
1.58489319246112e+003	(-1.05114242506941e+000dB,-5.94421845545293e-002°)
1.59710449993461e+003	(-1.05117442623011e+000dB,-5.98478801151095e-002°)
1.60940989326254e+003	(-1.05120686476329e+000dB,-6.02555784577029e-002°)
1.62181009735894e+003	(-1.05123974579681e+000dB,-6.06652723072542e-002°)
1.63430584272314e+003	(-1.05127307449434e+000dB,-6.10769539249584e-002°)
1.64689786548288e+003	(-1.05130685605383e+000dB,-6.14906150993776e-002°)
1.65958690743757e+003	(-1.05134109570745e+000dB,-6.19062471376500e-002°)
1.67237371610209e+003	(-1.05137579872079e+000dB,-6.23238408558187e-002°)
1.68525904475076e+003	(-1.05141097039205e+000dB,-6.27433865701207e-002°)
1.69824365246175e+003	(-1.05144661605217e+000dB,-6.31648740873495e-002°)
1.71132830416179e+003	(-1.05148274106298e+000dB,-6.35882926958189e-002°)
1.72451377067121e+003	(-1.05151935081747e+000dB,-6.40136311557900e-002°)
1.73780082874938e+003	(-1.05155645073837e+000dB,-6.44408776901147e-002°)
1.75119026114047e+003	(-1.05159404627769e+000dB,-6.48700199747462e-002°)
1.76468285661951e+003	(-1.05163214291592e+000dB,-6.53010451291411e-002°)
1.77827941003893e+003	(-1.05167074616037e+000dB,-6.57339397069589e-002°)
1.79198072237534e+003	(-1.05170986154567e+000dB,-6.61686896860691e-002°)
1.80578760077673e+003	(-1.05174949463139e+000dB,-6.66052804593092e-002°)
1.81970085860999e+003	(-1.05178965100224e+000dB,-6.70436968244513e-002°)
1.83372131550889e+003	(-1.05183033626588e+000dB,-6.74839229750432e-002°)
1.84784979742230e+003	(-1.05187155605299e+000dB,-6.79259424901353e-002°)
1.86208713666288e+003	(-1.05191331601499e+000dB,-6.83697383249970e-002°)
1.87643417195610e+003	(-1.05195562182403e+000dB,-6.88152928013249e-002°)
1.89089174848965e+003	(-1.05199847917108e+000dB,-6.92625875974252e-002°)
1.90546071796326e+003	(-1.05204189376462e+000dB,-6.97116037386711e-002°)
1.92014193863881e+003	(-1.05208587132990e+000dB,-7.01623215877389e-002°)
1.93493627539096e+003	(-1.05213041760693e+000dB,-7.06147208349474e-002°)
1.94984459975806e+003	(-1.05217553834976e+000dB,-7.10687804887314e-002°)
1.96486778999348e+003	(-1.05222123932451e+000dB,-7.15244788659252e-002°)
1.98000673111740e+003	(-1.05226752630827e+000dB,-7.19817935824242e-002°)
1.99526231496889e+003	(-1.05231440508706e+000dB,-7.24407015433187e-002°)
2.01063544025850e+003	(-1.05236188145526e+000dB,-7.29011789337428e-002°)
2.02612701262116e+003	(-1.05240996121283e+000dB,-7.33632012094679e-002°)
2.04173794466954e+003	(-1.05245865016410e+000dB,-7.38267430876220e-002°)
2.05746915604785e+003	(-1.05250795411663e+000dB,-7.42917785372475e-002°)
2.07332157348597e+003	(-1.05255787887842e+000dB,-7.47582807704191e-002°)
2.08929613085405e+003	(-1.05260843025656e+000dB,-7.52262222331636e-002°)
2.10539376921756e+003	(-1.05265961405568e+000dB,-7.56955745963916e-002°)
2.12161543689270e+003	(-1.05271143607562e+000dB,-7.61663087472534e-002°)
2.13796208950225e+003	(-1.05276390210940e+000dB,-7.66383947805564e-002°)
2.15443469003190e+003	(-1.05281701794128e+000dB,-7.71118019898942e-002°)
2.17103420888697e+003	(-1.05287078934517e+000dB,-7.75864988595998e-002°)
2.18776162394957e+003	(-1.05292522208142e+000dB,-7.80624530564615e-002°)
2.20461792063620e+003	(-1.05298032189564e+000dB,-7.85396314213946e-002°)
2.22160409195583e+003	(-1.05303609451602e+000dB,-7.90179999619425e-002°)
2.23872113856835e+003	(-1.05309254565102e+000dB,-7.94975238443706e-002°)
2.25597006884359e+003	(-1.05314968098703e+000dB,-7.99781673863319e-002°)
2.27335189892065e+003	(-1.05320750618582e+000dB,-8.04598940495182e-002°)
2.29086765276779e+003	(-1.05326602688275e+000dB,-8.09426664325567e-002°)
2.30851836224278e+003	(-1.05332524868319e+000dB,-8.14264462644009e-002°)
2.32630506715364e+003	(-1.05338517716080e+000dB,-8.19111943978033e-002°)
2.34422881531994e+003	(-1.05344581785444e+000dB,-8.23968708027793e-002°)
2.36229066263448e+003	(-1.05350717626580e+000dB,-8.28834345609331e-002°)
2.38049167312553e+003	(-1.05356925785630e+000dB,-8.33708438596181e-002°)
2.39883291901951e+003	(-1.05363206804489e+000dB,-8.38590559863429e-002°)
2.41731548080412e+003	(-1.05369561220416e+000dB,-8.43480273242605e-002°)
2.43594044729205e+003	(-1.05375989565858e+000dB,-8.48377133468419e-002°)
2.45470891568505e+003	(-1.05382492368089e+000dB,-8.53280686136703e-002°)
2.47362199163864e+003	(-1.05389070148935e+000dB,-8.58190467665720e-002°)
2.49268078932720e+003	(-1.05395723424435e+000dB,-8.63106005259445e-002°)
2.51188643150960e+003	(-1.05402452704574e+000dB,-8.68026816869970e-002°)
2.53124004959538e+003	(-1.05409258492950e+000dB,-8.72952411175597e-002°)
2.55074278371138e+003	(-1.05416141286422e+000dB,-8.77882287552317e-002°)
2.57039578276888e+003	(-1.05423101574824e+000dB,-8.82815936056002e-002°)
2.59020020453134e+003	(-1.05430139840650e+000dB,-8.87752837402258e-002°)
2.61015721568256e+003	(-1.05437256558629e+000dB,-8.92692462960955e-002°)
2.63026799189540e+003	(-1.05444452195515e+000dB,-8.97634274746073e-002°)
2.65053371790110e+003	(-1.05451727209628e+000dB,-9.02577725415398e-002°)
2.67095558755901e+003	(-1.05459082050532e+000dB,-9.07522258276721e-002°)
2.69153480392694e+003	(-1.05466517158781e+000dB,-9.12467307289223e-002°)
2.71227257933205e+003	(-1.05474032965364e+000dB,-9.17412297087837e-002°)
2.73317013544226e+003	(-1.05481629891567e+000dB,-9.22356642993597e-002°)
2.75422870333819e+003	(-1.05489308348445e+000dB,-9.27299751047005e-002°)
2.77544952358573e+003	(-1.05497068736515e+000dB,-9.32241018033223e-002°)
2.79683384630910e+003	(-1.05504911445411e+000dB,-9.37179831520618e-002°)
2.81838293126448e+003	(-1.05512836853440e+000dB,-9.42115569907385e-002°)
2.84009804791424e+003	(-1.05520845327225e+000dB,-9.47047602466841e-002°)
2.86198047550173e+003	(-1.05528937221422e+000dB,-9.51975289403873e-002°)
2.88403150312663e+003	(-1.05537112878165e+000dB,-9.56897981920707e-002°)
2.90625242982089e+003	(-1.05545372626831e+000dB,-9.61815022279722e-002°)
2.92864456462526e+003	(-1.05553716783556e+000dB,-9.66725743888016e-002°)
2.95120922666641e+003	(-1.05562145650901e+000dB,-9.71629471369762e-002°)
2.97394774523463e+003	(-1.05570659517439e+000dB,-9.76525520663076e-002°)
2.99686145986215e+003	(-1.05579258657343e+000dB,-9.81413199117100e-002°)
3.01995172040204e+003	(-1.05587943330068e+000dB,-9.86291805589214e-002°)
3.04321988710775e+003	(-1.05596713779828e+000dB,-9.91160630566988e-002°)
3.06666733071321e+003	(-1.05605570235333e+000dB,-9.96018956276958e-002°)
3.09029543251362e+003	(-1.05614512909334e+000dB,-1.00086605681786e-001°)
3.11410558444679e+003	(-1.05623541998201e+000dB,-1.00570119829255e-001°)
3.13809918917516e+003	(-1.05632657681590e+000dB,-1.01052363895271e-001°)
3.16227766016841e+003	(-1.05641860122011e+000dB,-1.01533262934371e-001°)
3.18664242178676e+003	(-1.05651149464443e+000dB,-1.02012741246828e-001°)
3.21119490936485e+003	(-1.05660525835968e+000dB,-1.02490722395018e-001°)
3.23593656929631e+003	(-1.05669989345317e+000dB,-1.02967129220805e-001°)
3.26086885911897e+003	(-1.05679540082601e+000dB,-1.03441883863779e-001°)
3.28599324760069e+003	(-1.05689178118762e+000dB,-1.03914907780655e-001°)
3.31131121482594e+003	(-1.05698903505380e+000dB,-1.04386121764746e-001°)
3.33682425228298e+003	(-1.05708716274164e+000dB,-1.04855445966839e-001°)
3.36253386295166e+003	(-1.05718616436603e+000dB,-1.05322799917001e-001°)
3.38844156139206e+003	(-1.05728603983653e+000dB,-1.05788102546574e-001°)
3.41454887383364e+003	(-1.05738678885290e+000dB,-1.06251272212081e-001°)
3.44085733826517e+003	(-1.05748841090282e+000dB,-1.06712226718299e-001°)
3.46736850452535e+003	(-1.05759090525643e+000dB,-1.07170883344531e-001°)
3.49408393439410e+003	(-1.05769427096490e+000dB,-1.07627158869134e-001°)
3.52100520168456e+003	(-1.05779850685584e+000dB,-1.08080969596937e-001°)
3.54813389233579e+003	(-1.05790361152989e+000dB,-1.08532231386509e-001°)
3.57547160450625e+003	(-1.05800958335840e+000dB,-1.08980859678188e-001°)
3.60301994866789e+003	(-1.05811642047929e+000dB,-1.09426769523642e-001°)
3.63078054770105e+003	(-1.05822412079456e+000dB,-1.09869875615312e-001°)
3.65875503699007e+003	(-1.05833268196701e+000dB,-1.10310092317676e-001°)
3.68694506451962e+003	(-1.05844210141752e+000dB,-1.10747333698256e-001°)
3.71535229097177e+003	(-1.05855237632212e+000dB,-1.11181513560345e-001°)
3.74397838982385e+003	(-1.05866350360939e+000dB,-1.11612545476021e-001°)
3.77282504744704e+003	(-1.05877547995778e+000dB,-1.12040342819855e-001°)
3.80189396320565e+003	(-1.05888830179295e+000dB,-1.12464818803757e-001°)
3.83118684955733e+003	(-1.05900196528592e+000dB,-1.12885886512320e-001°)
3.86070543215386e+003	(-1.05911646635050e+000dB,-1.13303458938786e-001°)
3.89045144994285e+003	(-1.05923180064071e+000dB,-1.13717449021930e-001°)
3.92042665527020e+003	(-1.05934796354996e+000dB,-1.14127769683527e-001°)
3.95063281398328e+003	(-1.05946495020813e+000dB,-1.14534333866506e-001°)
3.98107170553502e+003	(-1.05958275548036e+000dB,-1.14937054573777e-001°)
4.01174512308867e+003	(-1.05970137396521e+000dB,-1.15335844907552e-001°)
4.04265487362349e+003	(-1.05982079999357e+000dB,-1.15730618109341e-001°)
4.07380277804118e+003	(-1.05994102762720e+000dB,-1.16121287600738e-001°)
4.10519067127313e+003	(-1.06006205065752e+000dB,-1.16507767024217e-001°)
4.13682040238856e+003	(-1.06018386260507e+000dB,-1.16889970285003e-001°)
4.16869383470340e+003	(-1.06030645671833e+000dB,-1.17267811593146e-001°)
4.20081284589012e+003	(-1.06042982597268e+000dB,-1.17641205506208e-001°)
4.23317932808826e+003	(-1.06055396307152e+000dB,-1.18010066971921e-001°)
4.26579518801598e+003	(-1.06067886044401e+000dB,-1.18374311371980e-001°)
4.29866234708233e+003	(-1.06080451024660e+000dB,-1.18733854565695e-001°)
4.33178274150047e+003	(-1.06093090436232e+000dB,-1.19088612933886e-001°)
4.36515832240171e+003	(-1.06105803440084e+000dB,-1.19438503423546e-001°)
4.39879105595049e+003	(-1.06118589170005e+000dB,-1.19783443592166e-001°)
4.43268292346014e+003	(-1.06131446732499e+000dB,-1.20123351652948e-001°)
4.46683592150969e+003	(-1.06144375207079e+000dB,-1.20458146519382e-001°)
4.50125206206139e+003	(-1.06157373646168e+000dB,-1.20787747850761e-001°)
4.53593337257933e+003	(-1.06170441075369e+000dB,-1.21112076097129e-001°)
4.57088189614881e+003	(-1.06183576493536e+000dB,-1.21431052544826e-001°)
4.60609969159672e+003	(-1.06196778872991e+000dB,-1.21744599361620e-001°)
4.64158883361284e+003	(-1.06210047159611e+000dB,-1.22052639641986e-001°)
4.67735141287204e+003	(-1.06223380273163e+000dB,-1.22355097452321e-001°)
4.71338953615747e+003	(-1.06236777107458e+000dB,-1.22651897875935e-001°)
4.74970532648462e+003	(-1.06250236530572e+000dB,-1.22942967058106e-001°)
4.78630092322645e+003	(-1.06263757385164e+000dB,-1.23228232250540e-001°)
4.82317848223937e+003	(-1.06277338488747e+000dB,-1.23507621855882e-001°)
4.86034017599028e+003	(-1.06290978633989e+000dB,-1.23781065471949e-001°)
4.89778819368453e+003	(-1.06304676589039e+000dB,-1.24048493935241e-001°)
4.93552474139487e+003	(-1.06318431097902e+000dB,-1.24309839364276e-001°)
4.97355204219146e+003	(-1.06332240880783e+000dB,-1.24565035202767e-001°)
5.01187233627279e+003	(-1.06346104634438e+000dB,-1.24814016261895e-001°)
5.05048788109766e+003	(-1.06360021032705e+000dB,-1.25056718761940e-001°)
5.08940095151816e+003	(-1.06373988726792e+000dB,-1.25293080373830e-001°)
5.12861383991372e+003	(-1.06388006345820e+000dB,-1.25523040259740e-001°)
5.16812885632611e+003	(-1.06402072497243e+000dB,-1.25746539112920e-001°)
5.20794832859554e+003	(-1.06416185767385e+000dB,-1.25963519196914e-001°)
5.24807460249780e+003	(-1.06430344721894e+000dB,-1.26173924384073e-001°)
5.28851004188245e+003	(-1.06444547906259e+000dB,-1.26377700193270e-001°)
5.32925702881208e+003	(-1.06458793846485e+000dB,-1.26574793826278e-001°)
5.37031796370260e+003	(-1.06473081049433e+000dB,-1.26765154204110e-001°)
5.41169526546471e+003	(-1.06487408003618e+000dB,-1.26948732001452e-001°)
5.45339137164635e+003	(-1.06501773179634e+000dB,-1.27125479680889e-001°)
5.49540873857632e+003	(-1.06516175030918e+000dB,-1.27295351525462e-001°)
5.53774984150898e+003	(-1.06530611994238e+000dB,-1.27458303670730e-001°)
