Freq.	V(bf_source)
1.00000000000000e+003	(-2.32835273333825e+001dB,-3.90256192012334e-002°)
1.00770481413610e+003	(-2.32835410350363e+001dB,-3.93121746298050e-002°)
1.01546899243308e+003	(-2.32835549384473e+001dB,-3.96006194084591e-002°)
1.02329299228075e+003	(-2.32835690464309e+001dB,-3.98909610782234e-002°)
1.03117727459306e+003	(-2.32835833618362e+001dB,-4.01832070901034e-002°)
1.03912230383517e+003	(-2.32835978875472e+001dB,-4.04773648011645e-002°)
1.04712854805090e+003	(-2.32836126264840e+001dB,-4.07734414710001e-002°)
1.05519647889024e+003	(-2.32836275816008e+001dB,-4.10714442579602e-002°)
1.06332657163716e+003	(-2.32836427558879e+001dB,-4.13713802154536e-002°)
1.07151930523761e+003	(-2.32836581523718e+001dB,-4.16732562877074e-002°)
1.07977516232771e+003	(-2.32836737741144e+001dB,-4.19770793062562e-002°)
1.08809462926223e+003	(-2.32836896242148e+001dB,-4.22828559854667e-002°)
1.09647819614319e+003	(-2.32837057058086e+001dB,-4.25905929186570e-002°)
1.10492635684876e+003	(-2.32837220220679e+001dB,-4.29002965737098e-002°)
1.11343960906236e+003	(-2.32837385762021e+001dB,-4.32119732888670e-002°)
1.12201845430196e+003	(-2.32837553714587e+001dB,-4.35256292682622e-002°)
1.13066339794964e+003	(-2.32837724111217e+001dB,-4.38412705775461e-002°)
1.13937494928134e+003	(-2.32837896985138e+001dB,-4.41589031392233e-002°)
1.14815362149688e+003	(-2.32838072369954e+001dB,-4.44785327280190e-002°)
1.15699993175021e+003	(-2.32838250299655e+001dB,-4.48001649661451e-002°)
1.16591440117983e+003	(-2.32838430808612e+001dB,-4.51238053185684e-002°)
1.17489755493953e+003	(-2.32838613931586e+001dB,-4.54494590878722e-002°)
1.18394992222930e+003	(-2.32838799703732e+001dB,-4.57771314095580e-002°)
1.19307203632654e+003	(-2.32838988160582e+001dB,-4.61068272466670e-002°)
1.20226443461741e+003	(-2.32839179338080e+001dB,-4.64385513846369e-002°)
1.21152765862859e+003	(-2.32839373272549e+001dB,-4.67723084262333e-002°)
1.22086225405907e+003	(-2.32839570000714e+001dB,-4.71081027858480e-002°)
1.23026877081238e+003	(-2.32839769559703e+001dB,-4.74459386844636e-002°)
1.23974776302895e+003	(-2.32839971987035e+001dB,-4.77858201434729e-002°)
1.24929978911874e+003	(-2.32840177320637e+001dB,-4.81277509796923e-002°)
1.25892541179417e+003	(-2.32840385598829e+001dB,-4.84717347990435e-002°)
1.26862519810326e+003	(-2.32840596860343e+001dB,-4.88177749911279e-002°)
1.27839971946303e+003	(-2.32840811144316e+001dB,-4.91658747229301e-002°)
1.28824955169314e+003	(-2.32841028490286e+001dB,-4.95160369329858e-002°)
1.29817527504985e+003	(-2.32841248938198e+001dB,-4.98682643252294e-002°)
1.30817747426020e+003	(-2.32841472528401e+001dB,-5.02225593626243e-002°)
1.31825673855641e+003	(-2.32841699301662e+001dB,-5.05789242609586e-002°)
1.32841366171065e+003	(-2.32841929299143e+001dB,-5.09373609822440e-002°)
1.33864884207000e+003	(-2.32842162562427e+001dB,-5.12978712282684e-002°)
1.34896288259166e+003	(-2.32842399133498e+001dB,-5.16604564341133e-002°)
1.35935639087853e+003	(-2.32842639054749e+001dB,-5.20251177610700e-002°)
