Freq.	V(n004)/I(R5)
1.00000000000000e+003	(3.39795978659923e+001dB,-9.81247421401707e-007°)
1.04712854805090e+003	(3.39795978659923e+001dB,-1.02749218602406e-006°)
1.09647819614319e+003	(3.39795978659923e+001dB,-1.07591639919846e-006°)
1.14815362149688e+003	(3.39795978659924e+001dB,-1.12662277470100e-006°)
1.20226443461741e+003	(3.39795978659924e+001dB,-1.17971886799047e-006°)
1.25892541179417e+003	(3.39795978659924e+001dB,-1.23531730270888e-006°)
1.31825673855641e+003	(3.39795978659924e+001dB,-1.29353601045775e-006°)
1.38038426460289e+003	(3.39795978659924e+001dB,-1.35449848109784e-006°)
1.44543977074593e+003	(3.39795978659924e+001dB,-1.41833402367824e-006°)
1.51356124843621e+003	(3.39795978659924e+001dB,-1.48517804161101e-006°)
1.58489319246111e+003	(3.39795978659925e+001dB,-1.55517232148827e-006°)
1.65958690743756e+003	(3.39795978659925e+001dB,-1.62846532849177e-006°)
1.73780082874938e+003	(3.39795978659925e+001dB,-1.70521252796741e-006°)
1.81970085860999e+003	(3.39795978659926e+001dB,-1.78557671070965e-006°)
1.90546071796325e+003	(3.39795978659926e+001dB,-1.86972833920449e-006°)
1.99526231496888e+003	(3.39795978659926e+001dB,-1.95784591037612e-006°)
2.08929613085404e+003	(3.39795978659927e+001dB,-2.05011633312748e-006°)
2.18776162394956e+003	(3.39795978659927e+001dB,-2.14673532475284e-006°)
2.29086765276778e+003	(3.39795978659927e+001dB,-2.24790782809734e-006°)
2.39883291901949e+003	(3.39795978659928e+001dB,-2.35384844164436e-006°)
2.51188643150958e+003	(3.39795978659929e+001dB,-2.46478187970918e-006°)
2.63026799189539e+003	(3.39795978659929e+001dB,-2.58094344623425e-006°)
2.75422870333817e+003	(3.39795978659930e+001dB,-2.70257953582299e-006°)
2.88403150312661e+003	(3.39795978659931e+001dB,-2.82994815398163e-006°)
3.01995172040202e+003	(3.39795978659931e+001dB,-2.96331946404464e-006°)
3.16227766016839e+003	(3.39795978659932e+001dB,-3.10297636529437e-006°)
3.31131121482592e+003	(3.39795978659933e+001dB,-3.24921508730959e-006°)
3.46736850452532e+003	(3.39795978659934e+001dB,-3.40234582065650e-006°)
3.63078054770102e+003	(3.39795978659935e+001dB,-3.56269337523150e-006°)
3.80189396320562e+003	(3.39795978659937e+001dB,-3.73059786736626e-006°)
3.98107170553498e+003	(3.39795978659938e+001dB,-3.90641544447863e-006°)
4.16869383470336e+003	(3.39795978659940e+001dB,-4.09051903485442e-006°)
4.36515832240167e+003	(3.39795978659941e+001dB,-4.28329914672994e-006°)
4.57088189614876e+003	(3.39795978659943e+001dB,-4.48516468781512e-006°)
4.78630092322640e+003	(3.39795978659945e+001dB,-4.69654384131867e-006°)
5.01187233627274e+003	(3.39795978659947e+001dB,-4.91788496427827e-006°)
5.24807460249774e+003	(3.39795978659950e+001dB,-5.14965754900433e-006°)
5.49540873857626e+003	(3.39795978659953e+001dB,-5.39235321057166e-006°)
5.75439937337159e+003	(3.39795978659956e+001dB,-5.64648673364167e-006°)
6.02559586074360e+003	(3.39795978659959e+001dB,-5.91259716083262e-006°)
6.30957344480195e+003	(3.39795978659962e+001dB,-6.19124894535705e-006°)
6.60693448007598e+003	(3.39795978659966e+001dB,-6.48303313203163e-006°)
6.91830970918939e+003	(3.39795978659971e+001dB,-6.78856862921828e-006°)
7.24435960074992e+003	(3.39795978659975e+001dB,-7.10850350218376e-006°)
7.58577575029186e+003	(3.39795978659980e+001dB,-7.44351636878590e-006°)
7.94328234724284e+003	(3.39795978659986e+001dB,-7.79431781891195e-006°)
8.31763771102674e+003	(3.39795978659992e+001dB,-8.16165193086824e-006°)
8.70963589956084e+003	(3.39795978659999e+001dB,-8.54629785593089e-006°)
9.12010839355913e+003	(3.39795978660006e+001dB,-8.94907144931796e-006°)
9.54992586021439e+003	(3.39795978660015e+001dB,-9.37082703308405e-006°)
1.00000000000000e+004	(3.39795978660024e+001dB,-9.81245917034257e-006°)
1.04712854805090e+004	(3.39795978660033e+001dB,-1.02749045939202e-005°)
1.09647819614319e+004	(3.39795978660044e+001dB,-1.07591441702209e-005°)
1.14815362149689e+004	(3.39795978660056e+001dB,-1.12662049986744e-005°)
1.20226443461742e+004	(3.39795978660069e+001dB,-1.17971625688278e-005°)
1.25892541179417e+004	(3.39795978660084e+001dB,-1.23531430589796e-005°)
1.31825673855641e+004	(3.39795978660100e+001dB,-1.29353257085184e-005°)
1.38038426460289e+004	(3.39795978660117e+001dB,-1.35449453333088e-005°)
1.44543977074593e+004	(3.39795978660136e+001dB,-1.41832949341022e-005°)
