Freq.	V(n005)/I(R5)
1.00000000000000e+003	(3.39795978659918e+001dB,-9.85837889709664e-007°)
1.04712854805090e+003	(3.39795978659918e+001dB,-1.03229899652094e-006°)
1.09647819614319e+003	(3.39795978659917e+001dB,-1.08094974748539e-006°)
1.14815362149688e+003	(3.39795978659917e+001dB,-1.13189333747773e-006°)
1.20226443461741e+003	(3.39795978659916e+001dB,-1.18523782492407e-006°)
1.25892541179417e+003	(3.39795978659915e+001dB,-1.24109635996893e-006°)
1.31825673855641e+003	(3.39795978659915e+001dB,-1.29958742619400e-006°)
1.38038426460289e+003	(3.39795978659914e+001dB,-1.36083509122196e-006°)
1.44543977074593e+003	(3.39795978659913e+001dB,-1.42496926922608e-006°)
1.51356124843621e+003	(3.39795978659912e+001dB,-1.49212599667287e-006°)
1.58489319246111e+003	(3.39795978659912e+001dB,-1.56244772331338e-006°)
1.65958690743756e+003	(3.39795978659911e+001dB,-1.63608360964054e-006°)
1.73780082874938e+003	(3.39795978659909e+001dB,-1.71318984762272e-006°)
1.81970085860999e+003	(3.39795978659908e+001dB,-1.79392998988993e-006°)
1.90546071796325e+003	(3.39795978659907e+001dB,-1.87847529612562e-006°)
1.99526231496888e+003	(3.39795978659905e+001dB,-1.96700509872593e-006°)
2.08929613085404e+003	(3.39795978659904e+001dB,-2.05970718086791e-006°)
2.18776162394956e+003	(3.39795978659902e+001dB,-2.15677817500745e-006°)
2.29086765276778e+003	(3.39795978659900e+001dB,-2.25842398327331e-006°)
2.39883291901949e+003	(3.39795978659898e+001dB,-2.36486020788493e-006°)
2.51188643150958e+003	(3.39795978659895e+001dB,-2.47631261474175e-006°)
2.63026799189539e+003	(3.39795978659893e+001dB,-2.59301760879314e-006°)
2.75422870333817e+003	(3.39795978659890e+001dB,-2.71522273572890e-006°)
2.88403150312661e+003	(3.39795978659887e+001dB,-2.84318720889905e-006°)
3.01995172040202e+003	(3.39795978659883e+001dB,-2.97718245640563e-006°)
3.16227766016839e+003	(3.39795978659880e+001dB,-3.11749270041934e-006°)
3.31131121482592e+003	(3.39795978659876e+001dB,-3.26441555612691e-006°)
