Freq.	(V(n004)/I(R5)-50)/(V(n004)/I(R5)+50)
1.00000000000000e+003	(-9.88732681190895e+001dB,-4.30935209654088e-002°)
1.04712854805090e+003	(-9.88732678815181e+001dB,-4.51244551436968e-002°)
1.09647819614319e+003	(-9.88732676212955e+001dB,-4.72511041777996e-002°)
1.14815362149688e+003	(-9.88732673358358e+001dB,-4.94779789291945e-002°)
1.20226443461741e+003	(-9.88732670229368e+001dB,-5.18098028912116e-002°)
1.25892541179417e+003	(-9.88732666798375e+001dB,-5.42515221307311e-002°)
1.31825673855641e+003	(-9.88732663033043e+001dB,-5.68083158180536e-002°)
1.38038426460289e+003	(-9.88732658905275e+001dB,-5.94856072245333e-002°)
1.44543977074593e+003	(-9.88732654380647e+001dB,-6.22890751746473e-002°)
1.51356124843621e+003	(-9.88732649421903e+001dB,-6.52246661322122e-002°)
1.58489319246111e+003	(-9.88732643978329e+001dB,-6.82986068752392e-002°)
1.65958690743756e+003	(-9.88732638016840e+001dB,-7.15174174922286e-002°)
1.73780082874938e+003	(-9.88732631478220e+001dB,-7.48879254699316e-002°)
1.81970085860999e+003	(-9.88732624305425e+001dB,-7.84172799989028e-002°)
1.90546071796325e+003	(-9.88732616442024e+001dB,-8.21129671777888e-002°)
1.99526231496888e+003	(-9.88732607823017e+001dB,-8.59828259345014e-002°)
2.08929613085404e+003	(-9.88732598368843e+001dB,-9.00350645978841e-002°)
2.18776162394956e+003	(-9.88732588005359e+001dB,-9.42782783243623e-002°)
2.29086765276778e+003	(-9.88732576639855e+001dB,-9.87214673914275e-002°)
2.39883291901949e+003	(-9.88732564176024e+001dB,-1.03374056097754e-001°)
2.51188643150958e+003	(-9.88732550514231e+001dB,-1.08245912971554e-001°)
2.63026799189539e+003	(-9.88732535532187e+001dB,-1.13347371550689e-001°)
2.75422870333817e+003	(-9.88732519105103e+001dB,-1.18689252405760e-001°)
2.88403150312661e+003	(-9.88732501091607e+001dB,-1.24282885964626e-001°)
3.01995172040202e+003	(-9.88732481343942e+001dB,-1.30140136539430e-001°)
3.16227766016839e+003	(-9.88732459685535e+001dB,-1.36273427675979e-001°)
3.31131121482592e+003	(-9.88732435942637e+001dB,-1.42695768294515e-001°)
3.46736850452532e+003	(-9.88732409906990e+001dB,-1.49420780321188e-001°)
3.63078054770102e+003	(-9.88732381361768e+001dB,-1.56462727629971e-001°)
3.80189396320562e+003	(-9.88732350058559e+001dB,-1.63836546166788e-001°)
3.98107170553498e+003	(-9.88732315734289e+001dB,-1.71557875788773e-001°)
4.16869383470336e+003	(-9.88732278103003e+001dB,-1.79643093162867e-001°)
4.36515832240167e+003	(-9.88732236838761e+001dB,-1.88109346804715e-001°)
4.57088189614876e+003	(-9.88732191595705e+001dB,-1.96974593087735e-001°)
4.78630092322640e+003	(-9.88732141986108e+001dB,-2.06257634644106e-001°)
5.01187233627274e+003	(-9.88732087588511e+001dB,-2.15978159804151e-001°)
5.24807460249774e+003	(-9.88732027945781e+001dB,-2.26156784784022e-001°)
5.49540873857626e+003	(-9.88731962548184e+001dB,-2.36815096972662e-001°)
5.75439937337159e+003	(-9.88731890837231e+001dB,-2.47975700867973e-001°)
6.02559586074360e+003	(-9.88731812213444e+001dB,-2.59662265848270e-001°)
6.30957344480195e+003	(-9.88731726000836e+001dB,-2.71899576633185e-001°)
6.60693448007598e+003	(-9.88731631473247e+001dB,-2.84713585158497e-001°)
6.91830970918939e+003	(-9.88731527821036e+001dB,-2.98131466256966e-001°)
7.24435960074992e+003	(-9.88731414174100e+001dB,-3.12181674445328e-001°)
7.58577575029186e+003	(-9.88731289559184e+001dB,-3.26894004972784e-001°)
7.94328234724284e+003	(-9.88731152925864e+001dB,-3.42299656131761e-001°)
8.31763771102674e+003	(-9.88731003109400e+001dB,-3.58431295583438e-001°)
8.70963589956084e+003	(-9.88730838834455e+001dB,-3.75323129801376e-001°)
9.12010839355913e+003	(-9.88730658718435e+001dB,-3.93010975542789e-001°)
9.54992586021439e+003	(-9.88730461219006e+001dB,-4.11532336839439e-001°)
1.00000000000000e+004	(-9.88730244668328e+001dB,-4.30926482832081e-001°)
1.04712854805090e+004	(-9.88730007225231e+001dB,-4.51234531986566e-001°)
1.09647819614319e+004	(-9.88729746877014e+001dB,-4.72499538038178e-001°)
1.14815362149689e+004	(-9.88729461408820e+001dB,-4.94766581682274e-001°)
1.20226443461742e+004	(-9.88729148397403e+001dB,-5.18082864865695e-001°)
1.25892541179417e+004	(-9.88728805192237e+001dB,-5.42497811171147e-001°)
1.31825673855641e+004	(-9.88728428875694e+001dB,-5.68063169232306e-001°)
1.38038426460289e+004	(-9.88728016254101e+001dB,-5.94833122527969e-001°)
