Freq.	(V(n005)/I(R5)-50)/(V(n005)/I(R5)+50)
1.00000000000000e+003	(-9.88732681190869e+001dB,-4.32951209650687e-002°)
1.04712854805090e+003	(-9.88732678816235e+001dB,-4.53355562628369e-002°)
1.09647819614319e+003	(-9.88732676212944e+001dB,-4.74721541764200e-002°)
1.14815362149688e+003	(-9.88732673359267e+001dB,-4.97094466979389e-002°)
1.20226443461741e+003	(-9.88732670227535e+001dB,-5.20521794063618e-002°)
1.25892541179417e+003	(-9.88732666796936e+001dB,-5.45053214949839e-002°)
1.31825673855641e+003	(-9.88732663032691e+001dB,-5.70740763741215e-002°)
1.38038426460289e+003	(-9.88732658905323e+001dB,-5.97638926878751e-002°)
1.44543977074593e+003	(-9.88732654380077e+001dB,-6.25804758357191e-002°)
1.51356124843621e+003	(-9.88732649422050e+001dB,-6.55298000850557e-002°)
1.58489319246111e+003	(-9.88732643978507e+001dB,-6.86181213364185e-002°)
1.65958690743756e+003	(-9.88732638015930e+001dB,-7.18519902139690e-002°)
1.73780082874938e+003	(-9.88732631477340e+001dB,-7.52382661173774e-002°)
1.81970085860999e+003	(-9.88732624304630e+001dB,-7.87841316939602e-002°)
1.90546071796325e+003	(-9.88732616442427e+001dB,-8.24971080539852e-002°)
1.99526231496888e+003	(-9.88732607823480e+001dB,-8.63850708147820e-002°)
2.08929613085404e+003	(-9.88732598368083e+001dB,-9.04562667004390e-002°)
2.18776162394956e+003	(-9.88732588005138e+001dB,-9.47193310617781e-002°)
2.29086765276778e+003	(-9.88732576640026e+001dB,-9.91833063032986e-002°)
2.39883291901949e+003	(-9.88732564177164e+001dB,-1.03857660805690e-001°)
2.51188643150958e+003	(-9.88732550513759e+001dB,-1.08752309275862e-001°)
2.63026799189539e+003	(-9.88732535530770e+001dB,-1.13877633608478e-001°)
2.75422870333817e+003	(-9.88732519103846e+001dB,-1.19244504927231e-001°)
2.88403150312661e+003	(-9.88732501091392e+001dB,-1.24864306704847e-001°)
3.01995172040202e+003	(-9.88732481345306e+001dB,-1.30748958798076e-001°)
3.16227766016839e+003	(-9.88732459685817e+001dB,-1.36910942845167e-001°)
3.31131121482592e+003	(-9.88732435942334e+001dB,-1.43363328622947e-001°)
3.46736850452532e+003	(-9.88732409906881e+001dB,-1.50119801816922e-001°)
3.63078054770102e+003	(-9.88732381363273e+001dB,-1.57194692993267e-001°)
3.80189396320562e+003	(-9.88732350058661e+001dB,-1.64603007976586e-001°)
3.98107170553498e+003	(-9.88732315736156e+001dB,-1.72360459804188e-001°)
4.16869383470336e+003	(-9.88732278103281e+001dB,-1.80483501828770e-001°)
4.36515832240167e+003	(-9.88732236838696e+001dB,-1.88989362725535e-001°)
4.57088189614876e+003	(-9.88732191594886e+001dB,-1.97896082881409e-001°)
4.78630092322640e+003	(-9.88732141985953e+001dB,-2.07222552889642e-001°)
5.01187233627274e+003	(-9.88732087589747e+001dB,-2.16988553289344e-001°)
5.24807460249774e+003	(-9.88732027943183e+001dB,-2.27214796661210e-001°)
5.49540873857626e+003	(-9.88731962549138e+001dB,-2.37922971350078e-001°)
5.75439937337159e+003	(-9.88731890837418e+001dB,-2.49135787726794e-001°)
6.02559586074360e+003	(-9.88731812210976e+001dB,-2.60877025936926e-001°)
6.30957344480195e+003	(-9.88731726002215e+001dB,-2.73171586588296e-001°)
6.60693448007598e+003	(-9.88731631472700e+001dB,-2.86045543201053e-001°)
6.91830970918939e+003	(-9.88731527819375e+001dB,-2.99526197467699e-001°)
7.24435960074992e+003	(-9.88731414173654e+001dB,-3.13642137366023e-001°)
7.58577575029186e+003	(-9.88731289559216e+001dB,-3.28423297329029e-001°)
7.94328234724284e+003	(-9.88731152924946e+001dB,-3.43901021851260e-001°)
