Freq.	(V(n004)/I(R5)-50)/(V(n004)/I(R5)+50)
Step Information: X=45  (Run: 1/3)
1.00000000000000e+003	(-3.87635468438799e+001dB,-1.79999958423959e+002°)
1.04712854805090e+003	(-3.87635468438802e+001dB,-1.79999956464541e+002°)
1.09647819614319e+003	(-3.87635468438805e+001dB,-1.79999954412778e+002°)
1.14815362149688e+003	(-3.87635468438805e+001dB,-1.79999952264319e+002°)
1.20226443461741e+003	(-3.87635468438808e+001dB,-1.79999950014606e+002°)
1.25892541179417e+003	(-3.87635468438809e+001dB,-1.79999947658867e+002°)
1.31825673855641e+003	(-3.87635468438813e+001dB,-1.79999945192105e+002°)
1.38038426460289e+003	(-3.87635468438818e+001dB,-1.79999942609089e+002°)
1.44543977074593e+003	(-3.87635468438822e+001dB,-1.79999939904339e+002°)
1.51356124843621e+003	(-3.87635468438826e+001dB,-1.79999937072117e+002°)
1.58489319246111e+003	(-3.87635468438831e+001dB,-1.79999934106418e+002°)
1.65958690743756e+003	(-3.87635468438836e+001dB,-1.79999931000949e+002°)
1.73780082874938e+003	(-3.87635468438839e+001dB,-1.79999927749125e+002°)
1.81970085860999e+003	(-3.87635468438846e+001dB,-1.79999924344046e+002°)
1.90546071796325e+003	(-3.87635468438853e+001dB,-1.79999920778491e+002°)
1.99526231496888e+003	(-3.87635468438857e+001dB,-1.79999917044897e+002°)
2.08929613085404e+003	(-3.87635468438866e+001dB,-1.79999913135344e+002°)
2.18776162394956e+003	(-3.87635468438873e+001dB,-1.79999909041539e+002°)
2.29086765276778e+003	(-3.87635468438883e+001dB,-1.79999904754800e+002°)
2.39883291901949e+003	(-3.87635468438894e+001dB,-1.79999900266033e+002°)
2.51188643150958e+003	(-3.87635468438902e+001dB,-1.79999895565717e+002°)
2.63026799189539e+003	(-3.87635468438917e+001dB,-1.79999890643881e+002°)
2.75422870333817e+003	(-3.87635468438930e+001dB,-1.79999885490088e+002°)
2.88403150312661e+003	(-3.87635468438943e+001dB,-1.79999880093403e+002°)
3.01995172040202e+003	(-3.87635468438958e+001dB,-1.79999874442381e+002°)
3.16227766016839e+003	(-3.87635468438978e+001dB,-1.79999868525034e+002°)
3.31131121482592e+003	(-3.87635468438994e+001dB,-1.79999862328812e+002°)
3.46736850452532e+003	(-3.87635468439016e+001dB,-1.79999855840571e+002°)
3.63078054770102e+003	(-3.87635468439036e+001dB,-1.79999849046549e+002°)
3.80189396320562e+003	(-3.87635468439064e+001dB,-1.79999841932336e+002°)
3.98107170553498e+003	(-3.87635468439093e+001dB,-1.79999834482840e+002°)
4.16869383470336e+003	(-3.87635468439122e+001dB,-1.79999826682260e+002°)
4.36515832240167e+003	(-3.87635468439154e+001dB,-1.79999818514052e+002°)
4.57088189614876e+003	(-3.87635468439191e+001dB,-1.79999809960888e+002°)
4.78630092322640e+003	(-3.87635468439231e+001dB,-1.79999801004627e+002°)
5.01187233627274e+003	(-3.87635468439275e+001dB,-1.79999791626271e+002°)
5.24807460249774e+003	(-3.87635468439323e+001dB,-1.79999781805927e+002°)
5.49540873857626e+003	(-3.87635468439373e+001dB,-1.79999771522767e+002°)
5.75439937337159e+003	(-3.87635468439435e+001dB,-1.79999760754978e+002°)
6.02559586074360e+003	(-3.87635468439497e+001dB,-1.79999749479720e+002°)
6.30957344480195e+003	(-3.87635468439567e+001dB,-1.79999737673077e+002°)
6.60693448007598e+003	(-3.87635468439644e+001dB,-1.79999725310006e+002°)
6.91830970918939e+003	(-3.87635468439730e+001dB,-1.79999712364284e+002°)
7.24435960074992e+003	(-3.87635468439819e+001dB,-1.79999698808452e+002°)
7.58577575029186e+003	(-3.87635468439924e+001dB,-1.79999684613756e+002°)
7.94328234724284e+003	(-3.87635468440035e+001dB,-1.79999669750089e+002°)
8.31763771102674e+003	(-3.87635468440156e+001dB,-1.79999654185923e+002°)
8.70963589956084e+003	(-3.87635468440294e+001dB,-1.79999637888245e+002°)
9.12010839355913e+003	(-3.87635468440441e+001dB,-1.79999620822487e+002°)
9.54992586021439e+003	(-3.87635468440606e+001dB,-1.79999602952450e+002°)
1.00000000000000e+004	(-3.87635468440787e+001dB,-1.79999584240232e+002°)
1.04712854805090e+004	(-3.87635468440985e+001dB,-1.79999564646143e+002°)
1.09647819614319e+004	(-3.87635468441204e+001dB,-1.79999544128622e+002°)
1.14815362149689e+004	(-3.87635468441445e+001dB,-1.79999522644151e+002°)
1.20226443461742e+004	(-3.87635468441713e+001dB,-1.79999500147161e+002°)
1.25892541179417e+004	(-3.87635468442005e+001dB,-1.79999476589935e+002°)
1.31825673855641e+004	(-3.87635468442329e+001dB,-1.79999451922508e+002°)
1.38038426460289e+004	(-3.87635468442688e+001dB,-1.79999426092559e+002°)
1.44543977074593e+004	(-3.87635468443084e+001dB,-1.79999399045305e+002°)
1.51356124843621e+004	(-3.87635468443521e+001dB,-1.79999370723377e+002°)
1.58489319246112e+004	(-3.87635468444004e+001dB,-1.79999341066707e+002°)
1.65958690743757e+004	(-3.87635468444543e+001dB,-1.79999310012394e+002°)
1.73780082874938e+004	(-3.87635468445138e+001dB,-1.79999277494574e+002°)
1.81970085860999e+004	(-3.87635468445798e+001dB,-1.79999243444279e+002°)
1.90546071796326e+004	(-3.87635468446531e+001dB,-1.79999207789293e+002°)
1.99526231496889e+004	(-3.87635468447346e+001dB,-1.79999170453995e+002°)
2.08929613085405e+004	(-3.87635468448254e+001dB,-1.79999131359204e+002°)
2.18776162394956e+004	(-3.87635468449263e+001dB,-1.79999090422006e+002°)
2.29086765276778e+004	(-3.87635468450393e+001dB,-1.79999047555582e+002°)
2.39883291901950e+004	(-3.87635468451651e+001dB,-1.79999002669024e+002°)
2.51188643150959e+004	(-3.87635468453062e+001dB,-1.79998955667137e+002°)
2.63026799189540e+004	(-3.87635468454642e+001dB,-1.79998906450247e+002°)
2.75422870333818e+004	(-3.87635468456412e+001dB,-1.79998854913981e+002°)
2.88403150312662e+004	(-3.87635468458401e+001dB,-1.79998800949050e+002°)
3.01995172040203e+004	(-3.87635468460642e+001dB,-1.79998744441020e+002°)
3.16227766016840e+004	(-3.87635468463166e+001dB,-1.79998685270064e+002°)
3.31131121482593e+004	(-3.87635468466016e+001dB,-1.79998623310713e+002°)
3.46736850452534e+004	(-3.87635468469235e+001dB,-1.79998558431587e+002°)
3.63078054770103e+004	(-3.87635468472888e+001dB,-1.79998490495121e+002°)
3.80189396320563e+004	(-3.87635468477026e+001dB,-1.79998419357271e+002°)
3.98107170553500e+004	(-3.87635468481732e+001dB,-1.79998344867209e+002°)
4.16869383470338e+004	(-3.87635468487090e+001dB,-1.79998266867006e+002°)
4.36515832240169e+004	(-3.87635468493202e+001dB,-1.79998185191299e+002°)
4.57088189614878e+004	(-3.87635468500180e+001dB,-1.79998099666937e+002°)
4.78630092322641e+004	(-3.87635468508166e+001dB,-1.79998010112617e+002°)
5.01187233627275e+004	(-3.87635468517315e+001dB,-1.79997916338502e+002°)
5.24807460249776e+004	(-3.87635468527819e+001dB,-1.79997818145818e+002°)
5.49540873857628e+004	(-3.87635468539884e+001dB,-1.79997715326436e+002°)
5.75439937337161e+004	(-3.87635468553773e+001dB,-1.79997607662427e+002°)
6.02559586074362e+004	(-3.87635468569769e+001dB,-1.79997494925607e+002°)
6.30957344480197e+004	(-3.87635468588223e+001dB,-1.79997376877051e+002°)
6.60693448007600e+004	(-3.87635468609527e+001dB,-1.79997253266589e+002°)
6.91830970918941e+004	(-3.87635468634141e+001dB,-1.79997123832275e+002°)
7.24435960074995e+004	(-3.87635468662603e+001dB,-1.79996988299831e+002°)
7.58577575029189e+004	(-3.87635468695532e+001dB,-1.79996846382074e+002°)
7.94328234724287e+004	(-3.87635468733643e+001dB,-1.79996697778297e+002°)
8.31763771102677e+004	(-3.87635468777766e+001dB,-1.79996542173639e+002°)
8.70963589956087e+004	(-3.87635468828850e+001dB,-1.79996379238413e+002°)
9.12010839355916e+004	(-3.87635468887991e+001dB,-1.79996208627406e+002°)
9.54992586021443e+004	(-3.87635468956445e+001dB,-1.79996029979145e+002°)
1.00000000000001e+005	(-3.87635469035645e+001dB,-1.79995842915131e+002°)
1.04712854805091e+005	(-3.87635469127223e+001dB,-1.79995647039026e+002°)
1.09647819614319e+005	(-3.87635469233050e+001dB,-1.79995441935817e+002°)
1.14815362149689e+005	(-3.87635469355219e+001dB,-1.79995227170917e+002°)
1.20226443461742e+005	(-3.87635469496113e+001dB,-1.79995002289250e+002°)
1.25892541179418e+005	(-3.87635469658411e+001dB,-1.79994766814266e+002°)
1.31825673855642e+005	(-3.87635469845114e+001dB,-1.79994520246927e+002°)
1.38038426460290e+005	(-3.87635470059579e+001dB,-1.79994262064633e+002°)
1.44543977074594e+005	(-3.87635470305547e+001dB,-1.79993991720105e+002°)
1.51356124843622e+005	(-3.87635470587163e+001dB,-1.79993708640207e+002°)
1.58489319246113e+005	(-3.87635470909025e+001dB,-1.79993412224719e+002°)
1.65958690743757e+005	(-3.87635471276190e+001dB,-1.79993101845044e+002°)
1.73780082874939e+005	(-3.87635471694223e+001dB,-1.79992776842863e+002°)
1.81970085861000e+005	(-3.87635472169219e+001dB,-1.79992436528724e+002°)
1.90546071796326e+005	(-3.87635472707849e+001dB,-1.79992080180553e+002°)
1.99526231496890e+005	(-3.87635473317376e+001dB,-1.79991707042118e+002°)
2.08929613085406e+005	(-3.87635474005706e+001dB,-1.79991316321403e+002°)
2.18776162394957e+005	(-3.87635474781435e+001dB,-1.79990907188911e+002°)
2.29086765276779e+005	(-3.87635475653875e+001dB,-1.79990478775890e+002°)
