time	V(bf_source)	V(samplecap)
0.000000000000000e+000	-8.004651967527170e-002	-1.000000000000000e-001
9.999999717180685e-010	-8.004651950750261e-002	-9.999999980000000e-002
1.999999943436137e-009	-8.004651933824056e-002	-9.999999960000001e-002
3.999999886872274e-009	-8.004651899299341e-002	-9.999999920000002e-002
7.999999773744548e-009	-8.004651829394205e-002	-9.999999840000004e-002
1.599999954748910e-008	-8.004651688698040e-002	-9.999999680000009e-002
3.199999909497819e-008	-8.004651405060508e-002	-9.999999360000018e-002
6.399999818995639e-008	-8.004650833283311e-002	-9.999998720000036e-002
1.279999963799128e-007	-8.004649683730909e-002	-9.999997440000072e-002
2.559999927598256e-007	-8.004647379917664e-002	-9.999994880000145e-002
5.119999855196511e-007	-8.004642770500427e-002	-9.999989760000290e-002
1.023999971039302e-006	-8.004633551095171e-002	-9.999979520000579e-002
2.047999942078604e-006	-8.004615109414440e-002	-9.999959040001158e-002
4.095999884157209e-006	-8.004578211952078e-002	-9.999918080002317e-002
8.191999768314418e-006	-8.004504364216590e-002	-9.999836160004634e-002
1.638399953662884e-005	-8.004356505883561e-002	-9.999672320009267e-002
3.276799907325767e-005	-8.004060388545019e-002	-9.999344640018534e-002
6.553599814651534e-005	-8.003467447662943e-002	-9.998689280037069e-002
1.310719962930307e-004	-8.002280801117435e-002	-9.997378560074140e-002
2.310719962930307e-004	-8.000469810911454e-002	-9.995378560074139e-002
3.310719962930307e-004	-7.998658799586439e-002	-9.993378560074140e-002
4.310719962930307e-004	-7.996847784424981e-002	-9.991378560074139e-002
5.310719962930306e-004	-7.995036762455912e-002	-9.989378560074140e-002
6.310719962930307e-004	-7.993225741751302e-002	-9.987378560074139e-002
7.310719962930306e-004	-7.991414721025891e-002	-9.985378560074139e-002
8.310719962930307e-004	-7.989603700112759e-002	-9.983378560074140e-002
9.310719962930307e-004	-7.987792679264230e-002	-9.981378560074139e-002
1.031071996293031e-003	-7.985981658408468e-002	-9.979378560074140e-002
1.131071996293031e-003	-7.984170637594425e-002	-9.977378560074139e-002
