time	V(bf_source)
0.000000000000000e+000	-7.606378136283213e-003
9.999999717180685e-010	-7.606378102338099e-003
1.999999943436137e-009	-7.606378067981396e-003
3.999999886872274e-009	-7.606377998311709e-003
7.999999773744548e-009	-7.606377857770227e-003
1.599999954748910e-008	-7.606377574908460e-003
3.199999909497819e-008	-7.606377004804080e-003
6.399999818995639e-008	-7.606375855884140e-003
1.279999963799128e-007	-7.606373546865669e-003
2.559999927598256e-007	-7.606368920826212e-003
5.119999855196511e-007	-7.606359666588212e-003
1.023999971039302e-006	-7.606341158483835e-003
2.047999942078604e-006	-7.606304141561604e-003
4.095999884157209e-006	-7.606230099063655e-003
8.191999768314418e-006	-7.606081976827037e-003
1.638399953662884e-005	-7.605785615845228e-003
3.276799907325767e-005	-7.605192608945796e-003
6.553599814651534e-005	-7.604006098991841e-003
1.310719962930307e-004	-7.601632552051124e-003
2.310719962930307e-004	-7.598010600035055e-003
3.310719962930307e-004	-7.594388635489890e-003
4.310719962930307e-004	-7.590766667449331e-003
5.310719962930306e-004	-7.587144694508559e-003
6.310719962930307e-004	-7.583522722691795e-003
7.310719962930306e-004	-7.579900751350656e-003
8.310719962930307e-004	-7.576278779821992e-003
9.310719962930307e-004	-7.572656807732932e-003
1.031071996293031e-003	-7.569034835592093e-003
1.131071996293031e-003	-7.565412863776964e-003
1.231071996293031e-003	-7.561790892007365e-003
1.331071996293031e-003	-7.558168920297583e-003
1.431071996293031e-003	-7.554546948740346e-003
1.531071996293031e-003	-7.550924977019157e-003
1.631071996293031e-003	-7.547303005123770e-003
1.731071996293031e-003	-7.543681033280331e-003
1.831071996293031e-003	-7.540059061410232e-003
1.931071996293031e-003	-7.536437089634458e-003
2.031071996293031e-003	-7.532815118080777e-003
2.131071996293031e-003	-7.529193146448767e-003
2.231071996293031e-003	-7.525571174471754e-003
2.331071996293031e-003	-7.521949202529420e-003
2.431071996293031e-003	-7.518327230839128e-003
2.531071996293031e-003	-7.514705258981769e-003
2.631071996293031e-003	-7.511083287056308e-003
2.731071996293031e-003	-7.507461315536656e-003
2.831071996293031e-003	-7.503839344263475e-003
2.931071996293031e-003	-7.500217372625475e-003
3.031071996293031e-003	-7.496595400575710e-003
3.131071996293031e-003	-7.492973428540702e-003
3.231071996293031e-003	-7.489351456608933e-003
3.331071996293031e-003	-7.485729484811781e-003
3.431071996293031e-003	-7.482107513282342e-003
3.531071996293031e-003	-7.478485541938027e-003
3.631071996293031e-003	-7.474863570464568e-003
3.731071996293031e-003	-7.471241598636682e-003
3.831071996293031e-003	-7.467619626697718e-003
3.931071996293031e-003	-7.463997654959562e-003
4.031071996293031e-003	-7.460375683408209e-003
4.131071996293031e-003	-7.456753711761674e-003
4.231071996293031e-003	-7.453131739865540e-003
4.331071996293030e-003	-7.449509768173985e-003
4.431071996293031e-003	-7.445887796714367e-003
4.531071996293031e-003	-7.442265824987583e-003
4.631071996293030e-003	-7.438643853203903e-003
4.731071996293031e-003	-7.435021881619382e-003
4.831071996293031e-003	-7.431399910024109e-003
4.931071996293030e-003	-7.427777938383697e-003
5.031071996293031e-003	-7.424155966768182e-003
5.131071996293031e-003	-7.420533994971874e-003
