LECROYWR640Zi,55774,Waveform
Segments,1,SegmentSize,202
Segment,TrigTime,TimeSinceSegment1
#1,18-Nov-2019 09:45:25,0                 
Time,Ampl
-5.05e-09,-0.00186671
-5e-09,-0.00185383
-4.95e-09,-0.00184096
-4.9e-09,-0.00182809
-4.85e-09,-0.00184096
-4.8e-09,-0.00184096
-4.75e-09,-0.00186671
-4.7e-09,-0.00187958
-4.65e-09,-0.00189245
-4.6e-09,-0.00190533
-4.55e-09,-0.0019182
-4.5e-09,-0.0019182
-4.45e-09,-0.00190533
-4.4e-09,-0.00189245
-4.35e-09,-0.00187958
-4.3e-09,-0.00186671
-4.25e-09,-0.00186671
-4.2e-09,-0.00187958
-4.15e-09,-0.00187958
-4.1e-09,-0.00189245
-4.05e-09,-0.00190533
-4e-09,-0.0019182
-3.95e-09,-0.0019182
-3.9e-09,-0.0019182
-3.85e-09,-0.00189245
-3.8e-09,-0.00187958
-3.75e-09,-0.00187958
-3.7e-09,-0.00187958
-3.65e-09,-0.00187958
-3.6e-09,-0.00187958
-3.55e-09,-0.00186671
-3.5e-09,-0.00185383
-3.45e-09,-0.00182809
-3.4e-09,-0.00181521
-3.35e-09,-0.00181521
-3.3e-09,-0.00181521
-3.25e-09,-0.00182809
-3.2e-09,-0.00182809
-3.15e-09,-0.00182809
-3.1e-09,-0.00181521
-3.05e-09,-0.00181521
-3e-09,-0.00181521
-2.95e-09,-0.00182809
-2.9e-09,-0.00182809
-2.85e-09,-0.00182809
-2.8e-09,-0.00184096
-2.75e-09,-0.00185383
-2.7e-09,-0.00187958
-2.65e-09,-0.00187958
-2.6e-09,-0.00187958
-2.55e-09,-0.00187958
-2.5e-09,-0.00187958
-2.45e-09,-0.00186671
-2.4e-09,-0.00185383
-2.35e-09,-0.00185383
-2.3e-09,-0.00184096
-2.25e-09,-0.00184096
-2.2e-09,-0.00184096
-2.15e-09,-0.00186671
-2.1e-09,-0.00186671
-2.05e-09,-0.00186671
-2e-09,-0.00186671
-1.95e-09,-0.00186671
-1.9e-09,-0.00189245
-1.85e-09,-0.00190533
-1.8e-09,-0.0019182
-1.75e-09,-0.00190533
-1.7e-09,-0.00190533
-1.65e-09,-0.00189245
-1.6e-09,-0.00187958
-1.55e-09,-0.00187958
-1.5e-09,-0.00186671
-1.45e-09,-0.00186671
-1.4e-09,-0.00186671
-1.35e-09,-0.00186671
-1.3e-09,-0.00187958
-1.25e-09,-0.00189245
-1.2e-09,-0.00189245
-1.15e-09,-0.00189245
-1.1e-09,-0.00187958
-1.05e-09,-0.00187958
-1e-09,-0.00187958
-9.5e-10,-0.00187958
-9e-10,-0.00187958
-8.5e-10,-0.00186671
-8e-10,-0.00186671
-7.5e-10,-0.00186671
-7e-10,-0.00186671
-6.5e-10,-0.00185383
-6e-10,-0.00185383
-5.5e-10,-0.00184096
-5e-10,-0.00185383
-4.5e-10,-0.00186671
-4e-10,-0.00187958
-3.5e-10,-0.00189245
-3e-10,-0.00190533
-2.5e-10,-0.0019182
-2e-10,-0.0019182
