Type:          average
Points:        1350
Count:         512
XInc:          7.40741E-013
XOrg:          6.0964500000E-008
YData range:   5.74400E-001
YData center:  -9.00000E-002
Coupling:      50 Ohms
XRange:        1.00000E-009
XOffset:       6.0964500000E-008
YRange:        5.70400E-001
YOffset:       -9.00000E-002
Date:          18 NOV 2019
Time:          09:51:14:28
Frame:         86100C:MY45030871
X Units:       second
Y Units:       Volt
XY Data:
6.0964500E-008, -1.5444E-003
6.0965241E-008, -1.5263E-003
6.0965981E-008, -1.5082E-003
6.0966722E-008, -1.5173E-003
6.0967463E-008, -1.5173E-003
6.0968204E-008, -1.5263E-003
6.0968944E-008, -1.5263E-003
6.0969685E-008, -1.5263E-003
6.0970426E-008, -1.5173E-003
6.0971167E-008, -1.5263E-003
6.0971907E-008, -1.5173E-003
6.0972648E-008, -1.5173E-003
6.0973389E-008, -1.5263E-003
6.0974130E-008, -1.5263E-003
6.0974870E-008, -1.5082E-003
6.0975611E-008, -1.5173E-003
6.0976352E-008, -1.5263E-003
6.0977093E-008, -1.5173E-003
6.0977833E-008, -1.5263E-003
6.0978574E-008, -1.5173E-003
6.0979315E-008, -1.5173E-003
6.0980056E-008, -1.5173E-003
6.0980796E-008, -1.5263E-003
6.0981537E-008, -1.5354E-003
6.0982278E-008, -1.5263E-003
6.0983019E-008, -1.5263E-003
6.0983759E-008, -1.4992E-003
6.0984500E-008, -1.5173E-003
6.0985241E-008, -1.5263E-003
6.0985981E-008, -1.5173E-003
6.0986722E-008, -1.5263E-003
6.0987463E-008, -1.4992E-003
6.0988204E-008, -1.4992E-003
6.0988944E-008, -1.5082E-003
6.0989685E-008, -1.5263E-003
6.0990426E-008, -1.5263E-003
6.0991167E-008, -1.5173E-003
6.0991907E-008, -1.5173E-003
6.0992648E-008, -1.5263E-003
6.0993389E-008, -1.5173E-003
6.0994130E-008, -1.5173E-003
6.0994870E-008, -1.5173E-003
6.0995611E-008, -1.5263E-003
6.0996352E-008, -1.5263E-003
6.0997093E-008, -1.5354E-003
6.0997833E-008, -1.5082E-003
6.0998574E-008, -1.5173E-003
6.0999315E-008, -1.5263E-003
6.1000056E-008, -1.5263E-003
6.1000796E-008, -1.5082E-003
6.1001537E-008, -1.5263E-003
6.1002278E-008, -1.5263E-003
6.1003019E-008, -1.5173E-003
6.1003759E-008, -1.5263E-003
6.1004500E-008, -1.5263E-003
6.1005241E-008, -1.5173E-003
6.1005981E-008, -1.5173E-003
6.1006722E-008, -1.4992E-003
6.1007463E-008, -1.5082E-003
6.1008204E-008, -1.5173E-003
6.1008944E-008, -1.5263E-003
6.1009685E-008, -1.5173E-003
6.1010426E-008, -1.5173E-003
6.1011167E-008, -1.5173E-003
6.1011907E-008, -1.5173E-003
6.1012648E-008, -1.5173E-003
6.1013389E-008, -1.5082E-003
6.1014130E-008, -1.5173E-003
6.1014870E-008, -1.5263E-003
6.1015611E-008, -1.5082E-003
6.1016352E-008, -1.5263E-003
6.1017093E-008, -1.5082E-003
6.1017833E-008, -1.5173E-003
6.1018574E-008, -1.5263E-003
6.1019315E-008, -1.5082E-003
6.1020056E-008, -1.5082E-003
6.1020796E-008, -1.5173E-003
6.1021537E-008, -1.5263E-003
6.1022278E-008, -1.5173E-003
6.1023019E-008, -1.5263E-003
6.1023759E-008, -1.5263E-003
6.1024500E-008, -1.5173E-003
6.1025241E-008, -1.5173E-003
