Type:          raw
Points:        1350
Count:         1
XInc:          3.70370E-013
XOrg:          6.1183500000E-008
YData range:   5.74400E-001
YData center:  -9.00000E-002
Coupling:      50 Ohms
XRange:        5.00000E-010
XOffset:       6.1183500000E-008
YRange:        5.70400E-001
YOffset:       -9.00000E-002
Date:          18 NOV 2019
Time:          10:07:33:53
Frame:         86100C:MY45030871
X Units:       second
Y Units:       Volt
XY Data:
6.1183500E-008, -1.110E-003
6.1183870E-008, -1.110E-003
6.1184241E-008, -9.47E-004
6.1184611E-008, -1.599E-003
6.1184981E-008, -9.47E-004
6.1185352E-008, -6.03E-004
6.1185722E-008, -9.47E-004
6.1186093E-008, -1.110E-003
6.1186463E-008, -1.110E-003
6.1186833E-008, -1.110E-003
6.1187204E-008, -9.47E-004
6.1187574E-008, -1.110E-003
6.1187944E-008, -9.47E-004
6.1188315E-008, -7.84E-004
6.1188685E-008, -7.84E-004
6.1189056E-008, -1.110E-003
6.1189426E-008, -9.47E-004
6.1189796E-008, -1.110E-003
6.1190167E-008, -9.47E-004
6.1190537E-008, -1.110E-003
6.1190907E-008, -9.47E-004
6.1191278E-008, -9.47E-004
6.1191648E-008, -6.03E-004
6.1192019E-008, -1.110E-003
6.1192389E-008, -7.84E-004
6.1192759E-008, -1.273E-003
6.1193130E-008, -1.436E-003
6.1193500E-008, -9.47E-004
6.1193870E-008, -9.47E-004
6.1194241E-008, -7.84E-004
6.1194611E-008, -1.110E-003
6.1194981E-008, -1.436E-003
6.1195352E-008, -1.273E-003
6.1195722E-008, -9.47E-004
6.1196093E-008, -1.273E-003
6.1196463E-008, -7.84E-004
6.1196833E-008, -9.47E-004
6.1197204E-008, -7.84E-004
6.1197574E-008, -7.84E-004
6.1197944E-008, -1.110E-003
6.1198315E-008, -7.84E-004
6.1198685E-008, -1.110E-003
6.1199056E-008, -7.84E-004
6.1199426E-008, -9.47E-004
6.1199796E-008, -1.436E-003
6.1200167E-008, -1.273E-003
6.1200537E-008, -1.273E-003
6.1200907E-008, -1.110E-003
6.1201278E-008, -1.110E-003
6.1201648E-008, -7.84E-004
6.1202019E-008, -1.110E-003
6.1202389E-008, -4.40E-004
6.1202759E-008, -1.273E-003
6.1203130E-008, -1.599E-003
6.1203500E-008, -9.47E-004
6.1203870E-008, -1.273E-003
6.1204241E-008, -1.273E-003
6.1204611E-008, -2.77E-004
6.1204981E-008, -9.47E-004
6.1205352E-008, -9.47E-004
6.1205722E-008, -9.47E-004
6.1206093E-008, -7.84E-004
6.1206463E-008, -1.110E-003
6.1206833E-008, -1.110E-003
6.1207204E-008, -1.110E-003
6.1207574E-008, -1.110E-003
6.1207944E-008, -1.110E-003
6.1208315E-008, -9.47E-004
6.1208685E-008, -9.47E-004
6.1209056E-008, -7.84E-004
6.1209426E-008, -7.84E-004
6.1209796E-008, -7.84E-004
6.1210167E-008, -1.273E-003
6.1210537E-008, -7.84E-004
6.1210907E-008, -1.110E-003
6.1211278E-008, -1.110E-003
6.1211648E-008, -1.273E-003
6.1212019E-008, -1.110E-003
6.1212389E-008, -1.436E-003
6.1212759E-008, -1.273E-003
6.1213130E-008, -9.47E-004
6.1213500E-008, -1.110E-003
6.1213870E-008, -1.110E-003
6.1214241E-008, -1.273E-003
6.1214611E-008, -1.273E-003
6.1214981E-008, -7.84E-004
6.1215352E-008, -1.110E-003
6.1215722E-008, -9.47E-004
6.1216093E-008, -1.273E-003
6.1216463E-008, -1.110E-003
6.1216833E-008, -1.110E-003
6.1217204E-008, -9.47E-004
6.1217574E-008, -9.47E-004
6.1217944E-008, -6.03E-004
6.1218315E-008, -1.110E-003
6.1218685E-008, -1.599E-003
6.1219056E-008, -1.110E-003
6.1219426E-008, -1.273E-003
6.1219796E-008, -1.273E-003
6.1220167E-008, -7.84E-004
6.1220537E-008, -9.47E-004
6.1220907E-008, -1.110E-003
6.1221278E-008, -1.273E-003
6.1221648E-008, -1.273E-003
6.1222019E-008, -1.273E-003
6.1222389E-008, -9.47E-004
6.1222759E-008, -1.436E-003
6.1223130E-008, -1.110E-003
6.1223500E-008, -1.110E-003
6.1223870E-008, -4.40E-004
6.1224241E-008, -1.273E-003
6.1224611E-008, -1.436E-003
6.1224981E-008, -1.110E-003
6.1225352E-008, -1.110E-003
6.1225722E-008, -1.110E-003
6.1226093E-008, -7.84E-004
6.1226463E-008, -1.110E-003
6.1226833E-008, -1.762E-003
6.1227204E-008, -1.273E-003
6.1227574E-008, -1.273E-003
6.1227944E-008, -1.762E-003
6.1228315E-008, -9.47E-004
6.1228685E-008, -9.47E-004
6.1229056E-008, -7.84E-004
6.1229426E-008, -1.273E-003
6.1229796E-008, -7.84E-004
6.1230167E-008, -1.273E-003
6.1230537E-008, -9.47E-004
6.1230907E-008, -1.273E-003
6.1231278E-008, -1.436E-003
6.1231648E-008, -1.436E-003
6.1232019E-008, -1.110E-003
6.1232389E-008, -7.84E-004
6.1232759E-008, -1.599E-003
6.1233130E-008, -7.84E-004
6.1233500E-008, -1.436E-003
6.1233870E-008, -9.47E-004
6.1234241E-008, -1.110E-003
6.1234611E-008, -1.110E-003
6.1234981E-008, -1.762E-003
6.1235352E-008, -9.47E-004
6.1235722E-008, -1.110E-003
6.1236093E-008, -1.110E-003
6.1236463E-008, -1.273E-003
6.1236833E-008, -1.110E-003
6.1237204E-008, -9.47E-004
6.1237574E-008, -1.110E-003
6.1237944E-008, -1.599E-003
6.1238315E-008, -9.47E-004
6.1238685E-008, -6.03E-004
6.1239056E-008, -1.110E-003
6.1239426E-008, -7.84E-004
6.1239796E-008, -1.110E-003
6.1240167E-008, -9.47E-004
6.1240537E-008, -1.273E-003
6.1240907E-008, -1.436E-003
6.1241278E-008, -9.47E-004
6.1241648E-008, -9.47E-004
6.1242019E-008, -9.47E-004
6.1242389E-008, -1.110E-003
6.1242759E-008, -1.273E-003
6.1243130E-008, -9.47E-004
6.1243500E-008, -7.84E-004
6.1243870E-008, -1.110E-003
6.1244241E-008, -9.47E-004
6.1244611E-008, -1.273E-003
6.1244981E-008, -1.436E-003
6.1245352E-008, -1.110E-003
6.1245722E-008, -1.110E-003
6.1246093E-008, -1.110E-003
6.1246463E-008, -6.03E-004
6.1246833E-008, -1.110E-003
6.1247204E-008, -1.273E-003
6.1247574E-008, -1.110E-003
6.1247944E-008, -1.273E-003
6.1248315E-008, -1.110E-003
6.1248685E-008, -9.47E-004
6.1249056E-008, -7.84E-004
6.1249426E-008, -9.47E-004
6.1249796E-008, -9.47E-004
6.1250167E-008, -1.273E-003
6.1250537E-008, -1.273E-003
6.1250907E-008, -1.273E-003
6.1251278E-008, -1.273E-003
6.1251648E-008, -1.110E-003
6.1252019E-008, -1.273E-003
6.1252389E-008, -7.84E-004
6.1252759E-008, -7.84E-004
6.1253130E-008, -1.110E-003
